"","Flow_from_user","Flow_to_user","flow"
"384","elizaprokhorov1","AnmolSi86",0
"385","ellinasm8","udaygour",0
"386","elspeth54","rksandhu88",0
"387","emanmann2","soumikdas",-1
"388","embracetheart","MBQasmi",-1
"389","embracetheart","siri_notsiri",-1
"390","emilkhalmatn","JediLucario1138",0
"391","enterofright","sahilkhurana09",1
"392","ePaisa","vasishtaneelesh",1
"393","equity_focus","aakashhindocha",0
"394","erhkgupta","indu_jha",0
"395","everg3","Currency_crisis",-1
"396","everg3","SunilSinghBJP",-1
"397","faisalmoney","meet_murtaza",0
"398","faizaskari","parshanthadala",0
"399","fantomas0001","Undoomed",0
"400","farhanshaikh14","tinabasetia",0
"401","FastNewsDelhi","devyanidilli",0
"402","fatimakabo","indiaforums",0
"403","FedoraDaExplora","docstl",1
"404","FedoraDaExplora","stupidosaur",1
"405","fekubuster","anuragbhateja",-1
"406","fgautier26","pragya_bhushan",1
"407","FinancialXpress","svp7",1
"408","finclusion_fii","JMorduch",0
"409","finiterecursion","mmichav",0
"410","foodmfguk","Xtechnews",0
"411","forged_steele","ZeniaIrani",0
"412","fortiusinfra","pinclickhomes",0
"413","FrankieMendonca","adil_ah123",0
"414","GabbbarSingh","charujain171",0
"415","gani786786","VandanaSsingh",0
"416","garybcohen","danielsnchezrna",0
"417","gaurav_parrikar","rashmitambe",0
"418","GauravGogoiAsm","dhrubajitsenap3",0
"419","gauravonnet","gauravonnet",0
"420","gauravonnet","gauravonnet",0
"421","GauravPandhi","geetv79",1
"422","gaurnsui","Roshan_INC",0
"423","geekgpa","Silent_budhha",0
"424","geeminhas","governancenow",0
"425","geetv79","GauravPandhi",-1
"426","geetv79","geetv79",0
"427","geetv79","geetv79",0
"428","getongab","diamondtile2",0
"429","ghostbustor","mayankjain100",0
"430","Ghunegaar","amitji_k_rai",0
"431","girishkuber","jenixrino",1
"432","gizelethakral","dibang",0
"433","GNDTV","parthpa07241800",1
"434","goaltiwari","RuchiKom",-1
"435","goeltm_tg","nesoron",-1
"436","gopalak82004469","SmritiIrunI",0
"437","Gopalee67","padamchowdhary",0
"438","governancenow","geeminhas",0
"439","govinms","theicai",-1
"440","gptayu","gptayu",0
"441","gptayu","gptayu",0
"442","greatheman","rathinganguly",0
"443","grumpeoldman","rohithjyo",-1
"444","grumpeoldman","Rupalijee",-1
"445","gsailaja5","gsailaja5",0
"446","gsailaja5","gsailaja5",0
"447","gsramum","BindasBolshy",-1
"448","gthoppae","pcquest",0
"449","guindiaink","BeaLeydier",0
"450","gyanendraw","tncpim",-1
"451","haneinfo","prateikdhatrak",0
"452","haridasdr","Jayaa03",0
"453","harishcnarang1","ShipraSuri",0
"454","HarshBites","aviralmittal",1
"455","harshkkapoor","harshkkapoor",0
"456","harshkkapoor","harshkkapoor",0
"457","harshkkapoor","vijaychavda9",-1
"458","HarsimratBadal_","parthpa07241800",1
"459","harvansh_batra","blue21sky",-1
"460","harvansh_batra","spati2012",-1
"461","harvansh_batra","vmlsanna9",-1
"462","hashiTharoor","sirpandyahardik",1
"463","headstartdelhi","technogit",0
"464","heartdaughter","rescarsega",0
"465","heathermachado","Jevari_Delmayne",0
"466","heinersalomon","DevPathways",0
"467","hellboy300","NipponData",-1
"468","hemant_p","Oneindia",-1
"469","HemantRitu7","manishjagtap07",1
"470","hemster","onlysanjeevjha",1
"471","hey_hey_mikey","asiatimesonline",0
"472","hi_paresh","jamewils",1
"473","HiddenGuruz","maksimbelkx",0
"474","Himkunzum","bigsanturi",1
"475","Himkunzum","sidnairatwork",0
"476","HinduIDF","navbhaarat",0
"477","Holmes2491","adv_animesh",0
"478","hoskotevish89","WIONews",0
"479","HP_Journo","tabassumzia",0
"480","hstapanghosh","snatansupremacy",1
"481","huss_master","RomeoGomes8",0
