username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Unmai_Pithan;2017-01-05 23:04;0;0;"#Jallikattu rule not done before Jan10-if u are a true tamilian #BoycottTheatres (Hit them-were it pains,then all wl join)pls al";;;#Jallikattu #BoycottTheatres;"817061725509918720";https://twitter.com/Unmai_Pithan/status/817061725509918720
Unmai_Pithan;2017-01-05 23:01;1;2;"If #Jallikattu rule not done before Jan10-if u are a true tamilian #BoycottTheatres (Hit them-were it pains,then all wl join)";;;#Jallikattu #BoycottTheatres;"817061014436978688";https://twitter.com/Unmai_Pithan/status/817061014436978688
Unmai_Pithan;2017-01-05 23:00;1;1;"If #Jallikattu rulenot passed before Jan 10-if u are a true tamilian #BoycottTheatres #BoycottTASMAC (Hit them-were it pains)";;;#Jallikattu #BoycottTheatres #BoycottTASMAC;"817060761142956037";https://twitter.com/Unmai_Pithan/status/817060761142956037
Unmai_Pithan;2017-01-05 23:00;0;0;"If #Jallikattu rulenot passed before Jan 10-if u are a true tamilian #BoycottTheatres #BoycottTASMAC (Hit them-were it pains)";;;#Jallikattu #BoycottTheatres #BoycottTASMAC;"817060695678287872";https://twitter.com/Unmai_Pithan/status/817060695678287872
Unmai_Pithan;2017-01-05 22:59;0;0;"If #Jallikattu rule does not passed before Jan 10-if u are a true tamilian #BoycottTheatres #BoycottTASMAC (Hit them-where it pains) #Strike";;;#Jallikattu #BoycottTheatres #BoycottTASMAC #Strike;"817060479839387648";https://twitter.com/Unmai_Pithan/status/817060479839387648
Unmai_Pithan;2017-01-05 22:59;0;0;"If #Jallikattu rule does not passed before Jan 10-if u are a true tamilian #BoycottKollywood #BoycottTASMAC (Hit them-where it pains) #Strike";;;#Jallikattu #BoycottKollywood #BoycottTASMAC #Strike;"817060421005967360";https://twitter.com/Unmai_Pithan/status/817060421005967360
JoelWezley;2017-01-05 22:55;0;0;"@ashwinravi99 thankyou for your support to #jallikattu I support #jallikattu #Tamilanda";;@ashwinravi99;#jallikattu #jallikattu #Tamilanda;"817059571831164928";https://twitter.com/JoelWezley/status/817059571831164928
JoelWezley;2017-01-05 22:53;1;1;"@virendersehwag thank you for your support to #jallikattu I support #jallikattu";;@virendersehwag;#jallikattu #jallikattu;"817058864637964288";https://twitter.com/JoelWezley/status/817058864637964288
tamil1416;2017-01-05 22:52;0;0;"#KamalHaasan support #jallikattu #rajini #மகிழ்ச்சி #TNneedjallikattu #SaveJallikattu JALLIKATTU-Veeravilaiyattu... http:// fb.me/8q0eM0LM1";;;#KamalHaasan #jallikattu #rajini # #TNneedjallikattu #SaveJallikattu;"817058653563998209";https://twitter.com/tamil1416/status/817058653563998209
itisprashanth;2017-01-05 22:50;31;45;"Selfless act. can we start supporting? RT Max. The original Tweet. #jallikattu https:// twitter.com/gunaanbu2000/s tatus/816908559124340736 …";;;#jallikattu;"817058080693178370";https://twitter.com/itisprashanth/status/817058080693178370
KamalismForever;2017-01-05 22:49;0;0;"#Jallikattu #SaveJallikattu #tnneedjallikatu #SupportJallikattu #WeNeedOurJallikattu https:// twitter.com/lavanyasuresh9 /status/816999941604196353 …";;;#Jallikattu #SaveJallikattu #tnneedjallikatu #SupportJallikattu #WeNeedOurJallikattu;"817058058454999042";https://twitter.com/KamalismForever/status/817058058454999042
DivyaThalafan;2017-01-05 22:44;3;4;"#TNneedsJallikattu #jallikattu #SaveJallikattu https:// twitter.com/ragulrohit45/s tatus/817048097780011008 …";;;#TNneedsJallikattu #jallikattu #SaveJallikattu;"817056804521869313";https://twitter.com/DivyaThalafan/status/817056804521869313
smartngp;2017-01-05 22:44;0;0;"#jallikattu http:// fb.me/8isFVL3D3";;;#jallikattu;"817056585323315204";https://twitter.com/smartngp/status/817056585323315204
LavendarRaga;2017-01-05 22:35;0;0;"I support jallikattu #jallikattu #savejallikattu #ISupportJallikattu";;;#jallikattu #savejallikattu #ISupportJallikattu;"817054467275243520";https://twitter.com/LavendarRaga/status/817054467275243520
smoke_the_wee;2017-01-05 22:33;15;18;"#WeNeedJallikattu #TNJALLIKATTU Namma evalovo paravailla Intha video yallarum share panuga. திரும்ப வரோமம் #jallikattu pic.twitter.com/9tBsYj6xIR";;;#WeNeedJallikattu #TNJALLIKATTU #jallikattu;"817053801375039488";https://twitter.com/smoke_the_wee/status/817053801375039488
SarathKumarSKA;2017-01-05 22:29;0;0;"Memes Creators Also Participating in #Jallikattu Only in Memes Not in Reality #Varalam Vaa Varalam Va @MemesChennai May Hurt But True";;@MemesChennai;#Jallikattu #Varalam;"817052828682199041";https://twitter.com/SarathKumarSKA/status/817052828682199041
TeluguVijayFans;2017-01-05 22:26;1;0;"by giving bribes we r conducting #CockFights in our region. Is #Jallikattu really banned in TN. If so I do support you TN PPL.";;;#CockFights #Jallikattu;"817052176681943040";https://twitter.com/TeluguVijayFans/status/817052176681943040
