"Cluster_no","Tweet_ID"
6,630
6,645
6,646
6,647
6,684
6,685
6,689
6,692
6,696
6,702
6,703
6,704
6,706
6,707
6,708
6,715
6,716
6,717
6,719
6,720
6,721
6,725
6,726
6,727
6,728
6,732
6,735
6,737
6,741
6,742
6,744
6,747
6,748
6,749
6,751
6,754
6,756
6,764
6,768
6,769
6,770
6,772
6,776
6,777
6,787
6,788
6,789
6,791
6,793
6,796
6,806
6,808
6,809
6,811
6,812
6,816
6,819
6,820
6,823
6,824
6,826
6,828
6,829
6,831
6,832
6,834
6,835
6,836
6,837
6,838
6,840
6,841
6,842
6,843
6,844
6,847
6,849
6,851
6,852
6,853
6,854
6,855
6,859
6,860
6,861
6,864
6,865
6,875
6,880
6,881
6,899
6,905
6,906
6,911
6,912
6,913
6,914
6,919
6,920
6,921
6,922
6,923
6,926
6,927
6,930
6,931
6,934
6,935
6,936
6,937
6,939
6,941
6,942
6,944
6,945
6,946
6,948
6,949
6,951
6,952
6,955
6,958
6,959
6,960
6,961
6,963
6,965
6,967
6,968
6,975
6,978
6,980
6,983
6,985
6,989
6,990
6,991
6,993
6,999
6,1000
6,1001
6,1002
6,1004
6,1006
6,1011
6,1013
6,1020
6,1023
6,1024
6,1027
6,1029
6,1034
6,1036
6,1037
6,1043
6,1044
6,1059
6,1061
6,1064
6,1065
6,1068
6,1070
6,1071
6,1072
6,1074
6,1077
6,1085
6,1088
6,1094
6,1098
6,1111
6,1113
6,1114
6,1115
6,1116
6,1123
6,1126
6,1135
6,1136
6,1138
6,1139
6,1142
6,1143
6,1144
6,1146
6,1149
6,1153
6,1155
6,1158
6,1160
6,1161
6,1162
6,1164
6,1165
6,1166
6,1167
6,1168
6,1171
6,1172
6,1174
6,1175
6,1177
6,1180
6,1182
6,1183
6,1184
6,1185
6,1186
6,1187
6,1190
6,1191
6,1192
6,1193
6,1195
6,1196
6,1197
6,1198
6,1199
6,1200
6,1202
6,1203
6,1204
6,1206
6,1208
6,1209
6,1210
6,1211
6,1212
6,1214
6,1216
