"ID;""tweet"";""username"""
"162;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""avdheshkumartsi"""
"163;""RT @YSRCParty: Days before #Demonetization announcement @ncbn sold his Heritage sharesclearly evident that he had prior knowledge of the¸æçì†º"";""RkKotha"""
"164;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""puneetgarg24"""
"165;""RT @roshankar: Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to th¸æçì†º"";""YogenderWrites"""
"166;""RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization https:tco9NheK63TPg"";""mi_puneri"""
"167;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""HARESHUPADHYAY1"""
"168;""Former FinSec RBI Dy Governor CBDT Chair Harvard Professor lambaste #DemonetizationIf not for Aam Aadmi listen to them no PM Modi"";""roshankar"""
"169;""RT ZeeNewsSports: #Demonetization: harbhajan_singh gives hilarious shagun suggestion to those struggling with we¸æçì†º https:tcooJrbCBYmH9"";""VihaanSingh20"""
"170;""RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization 5 lakh response in 24 hrs 90% supports note ban #MeraDeshBadalRaha¸æçì†º"";""Punitspeaks"""
"171;""RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hardsÖ"";""AmberRishi"""
"172;""RT @_Hinduism_: How come those people crying for line in banks are not crying for line ups here in#demonetization https:tcoixY1¸æçì†º"";""zasambhu"""
"173;""RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious shagun suggestion to those struggling with wedding seasonhttps:t¸æçì†º"";""ZeeNews"""
"174;""RT @DrGPradhan: 8This tweet of @minimathur BIBI explains why she is having a prob with #demonetization In first part she says she cant¸æçì†º"";""krishnpria"""
"175;""RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization https:tco9NheK63TPg"";""rbr6000"""
