"","retweeters","tweeters","edge_type","weight"
"5060","YouTube","spencerkarter","Mention_edge",2
"5061","YearOfRat","spitma9","Mention_edge",1
"5062","minimathur","spj1810","Mention_edge",1
"5063","ArvindKejriwal","spmotabhai","Mention_edge",1
"5064","RitaG74","spmotabhai","Mention_edge",1
"5065","evanspiegel","spreha","Mention_edge",1
"5066","…","springsreddy","Mention_edge",1
"5067","narendramodi","springsreddy","Mention_edge",1
"5068","PrasadAol","springsreddy","Mention_edge",1
"5069","rashminp","springsreddy","Mention_edge",1
"5070","TarekFatah","springsreddy","Mention_edge",1
"5071","…","spryextinct","Mention_edge",1
"5072","PMOIndia","spssm","Mention_edge",1
"5073","…","sqrt7","Mention_edge",1
"5074","PrasadAol","sqrt7","Mention_edge",1
"5075","rashminp","sqrt7","Mention_edge",1
"5076","TarekFatah","sqrt7","Mention_edge",1
"5077","evanspiegel","sr_kartik","Mention_edge",1
"5078","msisodia","sr_sachinkumar","Mention_edge",1
"5079","sunetrac","sradeep_d","Mention_edge",1
"5080","SitaramYechury","srajorakgp","Mention_edge",1
"5081","evanspiegel","srb_bellu","Mention_edge",1
"5082","gopalbalaji","sree_krishnan_","Mention_edge",1
"5083","mvaru","sree_krishnan_","Mention_edge",1
"5084","MRVChennai","sreeiyer1","Mention_edge",1
"5085","Swamy39","sreeiyer1","Mention_edge",1
"5086","PMOIndia","sreelaw","Mention_edge",1
"5087","evanspiegel","sreoshee_das","Mention_edge",1
"5088","CNNnews18","sri_handler1","Mention_edge",1
"5089","narendramodi","sri_narsingh","Mention_edge",1
"5090","CarDroidusMax","sri_sri2002","Mention_edge",1
"5091","gsurya","sri_sri2002","Mention_edge",1
"5092","tickoosl","sri_sri2002","Mention_edge",1
"5093","NewIndianXpress","sri9011","Mention_edge",1
"5094","narendramodi","srianuragh","Mention_edge",2
"5095","PMOIndia","srianuragh","Mention_edge",1
"5096","evanspiegel","sridhar_salem","Mention_edge",1
"5097","narendramodi","sridharroopa143","Mention_edge",1
"5098","evanspiegel","srigolu","Mention_edge",1
"5099","LinkedIn","srikanth_atl","Mention_edge",1
"5100","evanspiegel","srimantasaha3","Mention_edge",1
"5101","MVenkaiahNaidu","srinivasair","Mention_edge",1
"5102","narendramodi","srinivasan703","Mention_edge",1
"5103","anandkamal","srinivasgandhe","Mention_edge",1
"5104","narendramodi","srinivasgandhe","Mention_edge",1
"5105","RashtrapatiBhv…","srinjoymukherji","Mention_edge",1
"5106","evanspiegel","sriram_cr7","Mention_edge",1
"5107","narendramodi","sriram316","Mention_edge",1
"5108","ncbn","srireddyysrcp","Mention_edge",1
"5109","IndiaToday","srishti17051748","Mention_edge",1
"5110","narendramodi","srithh","Mention_edge",1
"5111","evanspiegel","srkbringhappnss","Mention_edge",1
"5112","evanspiegel","srkian_nikhil","Mention_edge",1
"5113","evanspiegel","srksdaring","Mention_edge",1
"5114","evanspiegel","srksdrishh","Mention_edge",1
"5115","evanspiegel","srksgladiator_","Mention_edge",1
"5116","evanspiegel","srkskhushi","Mention_edge",1
"5117","evanspiegel","srkxchashmish","Mention_edge",1
"5118","ArvindKejriwal
htt…","srsbang","Mention_edge",1
"5119","sonunigam","srushticomputer","Mention_edge",1
"5120","evanspiegel","sruthi_tweets","Mention_edge",1
"5121","mandybedi","ssaangi","Mention_edge",1
"5122","narendramodi","ssaangi","Mention_edge",1
"5123","evanspiegel","ssagar_satpute","Mention_edge",1
"5124","evanspiegel","ssansoy67","Mention_edge",1
"5125","narendramodi","ssborkar","Mention_edge",1
"5126","BDUTT","ssharma68","Mention_edge",1
"5127","RanaAyyub","ssharma68","Mention_edge",1
"5128","sagarikaghose","ssharma68","Mention_edge",1
"5129","narendramodi","sshettyy007","Mention_edge",1
"5130","d_seaman","sskinsfan35","Mention_edge",1
"5131","YouTube","sskinsfan35","Mention_edge",1
"5132","Mohith9999","ssksays","Mention_edge",1
"5133","thotas9999","ssksays","Mention_edge",1
"5134","ArvindKejriwal","ssmalakar","Mention_edge",1
"5135","MamataOfficial","ssmalakar","Mention_edge",1
"5136","narendramodi","ssmunshi","Mention_edge",2
"5137","PMOIndia","ssmunshi","Mention_edge",1
