"","retweeters","tweeters","edge_type","weight"
"10362","tteegar","sparkster2_","Tweet_edge",1
"10363","womensmarch","spazzyturtle","Tweet_edge",1
"10364","yashar","speakmysex","Tweet_edge",1
"10365","tteegar","specialkmb1969","Tweet_edge",1
"10366","tteegar","speedboattom","Tweet_edge",1
"10367","HeidiLiFeldman","spellc3","Tweet_edge",1
"10368","AltHHS","spencerphil","Tweet_edge",1
"10369","ShireenQudosi","spfc_92_93_005","Tweet_edge",1
"10370","yashar","sphynxbluekorat","Tweet_edge",1
"10371","yashar","spikeghost","Tweet_edge",1
"10372","yashar","spiritdance33","Tweet_edge",1
"10373","LanaParrilla","spiritlana","Tweet_edge",1
"10374","womensmarch","spiritman888","Tweet_edge",1
"10375","sooatwoo","spiritrebel","Tweet_edge",1
"10376","JoeDayspring","spirochete14","Tweet_edge",1
"10377","ChristophrWood","spnwinchesterss","Tweet_edge",2
"10378","womensmarch","spokengrace","Tweet_edge",1
"10379","womensmarch","spontaneousanne","Tweet_edge",1
"10380","yashar","spookyneedles","Tweet_edge",1
"10381","womensmarch","spooniesensei","Tweet_edge",1
"10382","Lrihendry","springerpappy","Tweet_edge",1
"10383","elizabethwila","spydery1","Tweet_edge",1
"10384","IMPL0RABLE","squashbloss2018","Tweet_edge",1
"10385","IMPL0RABLE","squealandgiggle","Tweet_edge",1
"10386","jesjambag","squirreldebi","Tweet_edge",1
"10387","AmyMek","squzzle","Tweet_edge",1
"10388","tteegar","squzzle","Tweet_edge",1
"10389","Rosie","srainin","Tweet_edge",1
"10390","bluegal","srauer20","Tweet_edge",1
"10391","womensmarch","srbennett394","Tweet_edge",1
"10392","VvsTyranny","srcase613","Tweet_edge",1
"10393","AmyMek","srfulton22","Tweet_edge",1
"10394","katyperry","srgrangermarin","Tweet_edge",1
"10395","yashar","srikki03","Tweet_edge",1
"10396","womensmarch","srodriguezcrr","Tweet_edge",1
"10397","Bernlennials","sschinke","Tweet_edge",1
"10398","bennydiego","ssdi_attorney","Tweet_edge",1
"10399","womensmarch","ssissle","Tweet_edge",1
"10400","womensmarch","sss404040","Tweet_edge",1
"10401","womensmarch","sstewbean","Tweet_edge",2
"10402","veranjerry","sstuart2016","Tweet_edge",1
"10403","Bloomswest","ssueandron_sue","Tweet_edge",1
"10404","womensmarch","ssueh2222","Tweet_edge",1
"10405","yashar","staceyhallman","Tweet_edge",1
"10406","JDoeJustice","staceylb1983","Tweet_edge",1
"10407","womensmarch","staceylb1983","Tweet_edge",1
"10408","womensmarch","stacybierlein","Tweet_edge",1
"10409","mr_robertshb","stagefrightgigs","Tweet_edge",1
"10410","EWADJD_D","staggs8309","Tweet_edge",1
"10411","womensmarch","staggs8309","Tweet_edge",1
"10412","yashar","standrid1","Tweet_edge",1
"10413","ABC7Cheryl","stanfordfraser","Tweet_edge",1
"10414","womensmarch","stansburyj","Tweet_edge",1
"10415","Israellycool","stargazerlh","Tweet_edge",1
"10416","yashar","starkid_wheeler","Tweet_edge",1
"10417","womensmarch","starlorelei69","Tweet_edge",1
"10418","tteegar","starnoquisi","Tweet_edge",1
"10419","yashar","starrysaraharms","Tweet_edge",1
"10420","womensmarch","starsplat","Tweet_edge",1
"10421","tonykchoi","startrekfan47","Tweet_edge",1
"10422","jayne_a_broad","starwarsstuffs","Tweet_edge",1
"10423","avanconia","starzlove83","Tweet_edge",1
"10424","womensmarch","states37","Tweet_edge",1
"10425","womensmarch","statice1213","Tweet_edge",1
"10426","womensmarch","staufferr","Tweet_edge",1
"10427","PMiano_","stawff2011","Tweet_edge",1
"10428","yashar","steeefin","Tweet_edge",1
"10429","yashar","steelrsfan57","Tweet_edge",1
"10430","womensmarch","steepedindrama","Tweet_edge",1
"10431","BuzzFeed","stefano32847521","Tweet_edge",1
"10432","JohnRMoffitt","stefano32847521","Tweet_edge",1
"10433","PopCrave","stefanodezordi","Tweet_edge",1
"10434","womensmarch","stefprovost","Tweet_edge",1
"10435","yashar","steins81101","Tweet_edge",1
"10436","womensmarch","stellabellaqlts","Tweet_edge",1
"10437","womensmarch","stellarjay2","Tweet_edge",1
"10438","tteegar","stelliet","Tweet_edge",1
"10439","IMPL0RABLE","stemplify96","Tweet_edge",1
"10440","yashar","stenna15","Tweet_edge",1
"10441","womensmarch","steph4help","Tweet_edge",1
"10442","Rosie","stephadesign","Tweet_edge",1
"10443","LuM1996","stephan05432802","Tweet_edge",1
"10444","MileysCyrusNews","stephanie_1djb1","Tweet_edge",1
"10445","yashar","stephanie7916","Tweet_edge",1
"10446","womensmarch","stephaniecarrol","Tweet_edge",1
"10447","yashar","stephaniee_96_","Tweet_edge",1
"10448","yashar","stephaniehallet","Tweet_edge",1
"10449","Melvin_Udall_","stephanielathom","Tweet_edge",1
"10450","Rosie","stephen_coombs","Tweet_edge",1
"10451","jmalloy81","stephen80209","Tweet_edge",1
"10452","womensmarch","stephenbegins","Tweet_edge",1
"10453","GodfreyElfwick","stephencaudill","Tweet_edge",1
"10454","zlando","stephenius","Tweet_edge",1
"10455","womensmarch","stephenmskinner","Tweet_edge",1
"10456","womensmarch","stephenpinder","Tweet_edge",1
"10457","womensmarch","stephfuccio","Tweet_edge",1
"10458","RaquelWillis_","stephhhguerra","Tweet_edge",1
"10459","AmyMek","stephie123_","Tweet_edge",1
"10460","womensmarch","stephkirylych","Tweet_edge",1
"10461","lovatoalbum17","stephxaly","Tweet_edge",1
"10462","PopCrave","stephxaly","Tweet_edge",1
"10463","PopCrave","stephxo333","Tweet_edge",1
"10464","ABC7Cheryl","sterlist","Tweet_edge",1
"10465","yashar","steve_boyar","Tweet_edge",1
"10466","PopCrave","steve_johann","Tweet_edge",1
"10467","yashar","stevenmarkcase1","Tweet_edge",1
"10468","IMPL0RABLE","stevesurrey1","Tweet_edge",1
"10469","yashar","stevgole","Tweet_edge",1
"10470","yashar","stevlenlcks","Tweet_edge",1
"10471","disspat","stichtag","Tweet_edge",1
"10472","NC_24","stienen73","Tweet_edge",1
"10473","NetflixMulhouse","stillchip","Tweet_edge",1
"10474","DaShanneStokes","stilllwithher","Tweet_edge",1
"10475","womensmarch","stillngam","Tweet_edge",1
"10476","PopCrave","stillorasalive","Tweet_edge",1
"10477","yashar","stillwaters007","Tweet_edge",1
"10478","SandraTXAS","stinkybeachnnja","Tweet_edge",1
"10479","womensmarch","stivers1234","Tweet_edge",1
"10480","DaShanneStokes","stockguy61","Tweet_edge",1
"10481","StockScout1","stockscout1","Tweet_edge",1
"10482","rugliabeoulve2","stoleneyesx","Tweet_edge",1
"10483","yashar","stolethetart","Tweet_edge",1
"10484","TomthunkitsMind","stolzenbergdoug","Tweet_edge",1
"10485","MileysCyrusNews","stonecolddl96","Tweet_edge",1
"10486","MileyUpdateEU","stonecoldgus","Tweet_edge",1
"10487","PopCrave","stonevato","Tweet_edge",1
"10488","yashar","stopcorpfraud","Tweet_edge",1
"10489","Samoskal","stopnuclearwar","Tweet_edge",1
"10490","BlackIrishI","stoppliberals","Tweet_edge",1
"10491","General_mattis1","stopstophillary","Tweet_edge",1
"10492","JaneAustenBath","stopthistrain1","Tweet_edge",1
"10493","IMPL0RABLE","stormewebber","Tweet_edge",1
"10494","womensmarch","stormewebber","Tweet_edge",1
"10495","womensmarch","stormie802","Tweet_edge",1
"10496","womensmarch","stormwatch2020","Tweet_edge",1
"10497","yashar","stoverjordann","Tweet_edge",1
"10498","womensmarch","stradefi","Tweet_edge",1
"10499","TrumpResist","strahammer_fam","Tweet_edge",1
"10500","DaShanneStokes","strain_jane","Tweet_edge",1
"10501","LoveMeLuLu22","strain_jane","Tweet_edge",1
"10502","TrumpResist","strategiclimits","Tweet_edge",1
