"","retweeters","tweeters","edge_type","weight"
"9467","DonaldJTrumpJr","rccda12","Tweet_edge",1
"9468","Charles_HRH","rchakras","Tweet_edge",1
"9469","RCIisLeaking","rciisleaking","Tweet_edge",1
"9470","davidbergman","rckrillex","Tweet_edge",1
"9471","khalifallah","rdcomish","Tweet_edge",1
"9472","jrpaws","rdcvolanoroger","Tweet_edge",1
"9473","NiggaCommentary","rdj7077","Tweet_edge",1
"9474","theClaudiaInez","rdmccall61","Tweet_edge",1
"9475","ThePatriot143","rdtbook","Tweet_edge",1
"9476","funder","rdworkin","Tweet_edge",1
"9477","joekeene","re_dread","Tweet_edge",1
"9478","djt_america","reachingbeyond2","Tweet_edge",1
"9479","AltNatParkSer","readshould","Tweet_edge",1
"9480","ThePatriot143","ready_get","Tweet_edge",1
"9481","capitalresearch","readyornotfory2","Tweet_edge",1
"9482","JacobStormsTV","readyornotfory2","Tweet_edge",1
"9483","NolanR","reaganbooth9","Tweet_edge",1
"9484","ThePatriot143","reaganite8","Tweet_edge",1
"9485","AltNatParkSer","real_op","Tweet_edge",1
"9486","PoliticalHedge","real_pantheist","Tweet_edge",1
"9487","ThePatriot143","realaeress","Tweet_edge",1
"9488","joekeene","realalexaparker","Tweet_edge",1
"9489","ThePatriot143","realangelogomez","Tweet_edge",1
"9490","realDonaldTrump","realanuragj","Tweet_edge",1
"9491","Acosta","realarash","Tweet_edge",1
"9492","TEN_GOP","realbethneale","Tweet_edge",1
"9493","Charles_HRH","realbloodmarq","Tweet_edge",1
"9494","Corpusmentis0","realcalisage","Tweet_edge",1
"9495","MMUSA_PPN","realcalisage","Tweet_edge",1
"9496","TEN_GOP","realchrismock","Tweet_edge",1
"9497","five_books","realclearbooks","Tweet_edge",1
"9498","gprofessx","realcynicism","Tweet_edge",1
"9499","joekeene","realdonalchump","Tweet_edge",1
"9500","TEN_GOP","realhomelessjoe","Tweet_edge",1
"9501","CDoranHarader","reality_n_truth","Tweet_edge",1
"9502","RepStevenSmith","reality_n_truth","Tweet_edge",1
"9503","joekeene","realjgarcia_","Tweet_edge",1
"9504","joekeene","realjogo","Tweet_edge",1
"9505","larryelder","realjohnnyz","Tweet_edge",1
"9506","pnehlen","realjohnnyz","Tweet_edge",1
"9507","itsjackhess","realjyoungin","Tweet_edge",1
"9508","3lectric5heep","realmathew","Tweet_edge",1
"9509","TRUMPMOVEMENTUS","realmathew","Tweet_edge",1
"9510","pnehlen","realmcfarland","Tweet_edge",1
"9511","mrntweet2","realmichaelguy","Tweet_edge",1
"9512","bfry1981","realmuckmaker","Tweet_edge",1
"9513","joekeene","realnoahclark","Tweet_edge",1
"9514","joekeene","realpaolathomas","Tweet_edge",1
"9515","izzyjsmom","realpappyjim","Tweet_edge",1
"9516","pnehlen","realpappyjim","Tweet_edge",1
"9517","ThePatriot143","realplanostu","Tweet_edge",1
"9518","ThePatriot143","realpoliticsop","Tweet_edge",1
"9519","FoxNews","realprolifehere","Tweet_edge",1
"9520","JamesOKeefeIII","realrandyross","Tweet_edge",2
"9521","Project_Veritas","realrandyross","Tweet_edge",1
"9522","ThePatriot143","realrobert1987","Tweet_edge",1
"9523","FoxNews","realrobertjb","Tweet_edge",1
"9524","pnehlen","realrusseljames","Tweet_edge",1
"9525","ThePatriot143","realryansipple","Tweet_edge",1
"9526","WSHHcomedy","realsean71","Tweet_edge",1
"9527","pnehlen","realseanfintak","Tweet_edge",1
"9528","ThePatriot143","realtonydetroit","Tweet_edge",1
"9529","pnehlen","realtor0nursern","Tweet_edge",1
"9530","marycjoyce2","realtrunews2017","Tweet_edge",1
"9531","TrumpSuperPAC","realtrunews2017","Tweet_edge",1
"9532","ThePatriot143","realtymountain","Tweet_edge",1
"9533","ThePatriot143","realtysteve","Tweet_edge",1
"9534","joekeene","reanyc596","Tweet_edge",1
"9535","ThePatriot143","reasonedhope","Tweet_edge",1
"9536","AltNatParkSer","reaverbait","Tweet_edge",1
"9537","3lectric5heep","rebalondon","Tweet_edge",1
"9538","IanPTrait","rebeccafaussett","Tweet_edge",1
"9539","JudyBaldasaro","rebeccafaussett","Tweet_edge",1
"9540","3lectric5heep","rebeccal1955","Tweet_edge",1
"9541","roycan79","rebeccal1955","Tweet_edge",1
"9542","Acosta","rebekaho_neill","Tweet_edge",1
"9543","FoxNews","rebelbygod","Tweet_edge",1
"9544","pnehlen","rebellionreport","Tweet_edge",1
"9545","RickyVaughn_II","rebelmechaniker","Tweet_edge",1
"9546","joekeene","rebelscumresist","Tweet_edge",1
"9547","JahovasWitniss","reborn_prodigy","Tweet_edge",1
"9548","pnehlen","reconmoe","Tweet_edge",1
"9549","FatAcrobat","red_skins4life1","Tweet_edge",1
"9550","ThePatriot143","red_white__blue","Tweet_edge",1
"9551","UTCpolicy","redcarpetrunway","Tweet_edge",1
"9552","RepStevenSmith","redcat0827","Tweet_edge",1
"9553","ElectPiperFogle","redco2012","Tweet_edge",1
"9554","RURALRADIO147","reddirt_roots","Tweet_edge",1
"9555","ThePatriot143","reddydemey","Tweet_edge",1
