,retweeters,tweeters,edge_type,weight
9055,meghna_meghna,suparna_r,Tweet_edge,1
9056,DrKumarVishwas,super_sshiv,Tweet_edge,1
9057,Timcast,superdonald1,Tweet_edge,1
9058,RoflGandhi_,superfunkie,Tweet_edge,1
9059,URautelaForever,superkatrinafan,Tweet_edge,1
9060,URautelaForever,superstarmb_fan,Tweet_edge,1
9061,kapil_kausik,supportrss,Tweet_edge,1
9062,attomeybharti,supreeth28,Tweet_edge,1
9063,5Forty3,supremeharish,Tweet_edge,2
9064,ippatel,supremeharish,Tweet_edge,1
9065,rahulroushan,supremeharish,Tweet_edge,2
9066,URautelaForever,supriya06sarma,Tweet_edge,1
9067,HPCL,supriyadixit13,Tweet_edge,1
9068,centerofright,supriyasehgal_3,Tweet_edge,4
9069,gauravcsawant,supriyasehgal_3,Tweet_edge,1
9070,URautelaForever,suraj19888,Tweet_edge,1
9071,URautelaForever,suraj5418,Tweet_edge,1
9072,URautelaForever,suraj618,Tweet_edge,1
9073,MIB_India,surajbhan02,Tweet_edge,1
9074,priyaakulkarni2,surajprsingh,Tweet_edge,1
9075,ashu3page,surajrai_,Tweet_edge,2
9076,barbarindian,surajrai_,Tweet_edge,1
9077,URautelaForever,surajshukla25,Tweet_edge,1
9078,URautelaForever,surajya22041411,Tweet_edge,1
9079,DrKumarVishwas,suranjitkosta,Tweet_edge,1
9080,dna,surekha7722,Tweet_edge,1
9081,ShirishKunder,surekha7722,Tweet_edge,1
9082,5Forty3,surendaradla,Tweet_edge,2
9083,KambojMeenakshi,surenderbalu1,Tweet_edge,1
9084,OfficeOfRG,surenderbalu1,Tweet_edge,1
9085,YesIamSaffron,surendr48293441,Tweet_edge,1
9086,ShashiTharoor,suresh_ghuraiya,Tweet_edge,3
9087,DipendraDipzo,suresh_kadavala,Tweet_edge,1
9088,harshkkapoor,sureshm46,Tweet_edge,1
9089,Joydeep_911,sureshm46,Tweet_edge,1
9090,URautelaForever,sureshmane2000,Tweet_edge,1
