,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
4808,"BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC - GotNews
https://t.co/kGQCPNupfL",FALSE,0,NA,2017-02-05 14:24:55,FALSE,NA,828248041048138000,NA,Twitter for Android,JoeBravoYo,1,FALSE,FALSE,NA,NA
4809,RT @pnehlen: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/6YLE7zM5b8,FALSE,0,NA,2017-02-05 14:20:07,FALSE,NA,828246832476201000,NA,Twitter for iPhone,GoEagles420,938,TRUE,FALSE,NA,NA
4810,RT @Palinspired: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/PnRlWCyLu6,FALSE,0,NA,2017-02-05 14:19:50,FALSE,NA,828246759751221000,NA,Twitter for Android,JudyLaw1655,6,TRUE,FALSE,NA,NA
4811,"RT @FashNova: Full list of 231 neo-communist thugs arrested on #Inauguration riots in DC.

.
#AltRight #AntiFa
https://t.co/VfRzRmfHQW",FALSE,0,NA,2017-02-05 14:19:15,FALSE,NA,828246613927797000,NA,Twitter Web Client,var_italica,11,TRUE,FALSE,NA,NA
4812,"Look...she's Kool &amp; everything but, I followed #michelleobama  #inauguration '#composure'  as… https://t.co/2TwAA5ORpB",FALSE,0,NA,2017-02-05 14:18:29,FALSE,NA,828246421908386000,NA,Instagram,NOTORIOUST_NMC,0,FALSE,FALSE,NA,NA
4813,"RT @RebellionReport: <ed><U+00A0><U+00BD><ed><U+00BA><U+00A8>BREAKING: Full List Of The 231 People Arrested At The #Inauguration Riots In DC

Most are 20 something punks. Face of…",FALSE,0,NA,2017-02-05 14:18:02,FALSE,NA,828246309245223000,NA,Twitter for iPhone,abobloblaw,24,TRUE,FALSE,NA,NA
4814,BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC - GotNews https://t.co/I71lbjwrcH,FALSE,0,NA,2017-02-05 14:17:48,FALSE,NA,828246247345619000,NA,Put your button on any page! ,ahill6853,0,FALSE,FALSE,NA,NA
4815,"RT @seanspicer: Inauguration Day: @realDonaldTrump to become America's 45th president
@AP 
https://t.co/DEWgs5Vq7n #Inauguration #DonaldTru…",FALSE,0,NA,2017-02-05 14:15:45,FALSE,NA,828245733589545000,NA,Twitter for iPhone,DMMadora,1030,TRUE,FALSE,NA,NA
4816,RT @RandolpheLibre: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/3XBRKi3JzD @nyt…,FALSE,0,NA,2017-02-05 14:15:21,FALSE,NA,828245632263528000,NA,Twitter for iPhone,sachsau1,98,TRUE,FALSE,NA,NA
4817,RT @pnehlen: BREAKING: Here's The Full List Of The 231 People Arrested At The #Inauguration Riots In DC https://t.co/6YLE7zM5b8,FALSE,0,NA,2017-02-05 14:14:37,FALSE,NA,828245446233448000,NA,Twitter for Android,Fashy_dutz_neez,938,TRUE,FALSE,NA,NA
