"","X","Flow_from_user","Flow_to_user","flow"
"12210","BajajAllianzLIC22","4ngeezy__","BajajAllianzLIC",1
"10550","DipendraDipzo1","4ushashishekhar","DipendraDipzo",1
"6475","ippatel3","4ushashishekhar","ippatel",1
"1779","Punitspeaks10","4ushashishekhar","Punitspeaks",1
"10331","_MiteshPatel","500urvashi","_MiteshPatel",1
"1439","AAPVind1","500urvashi","AAPVind",1
"3202","jamewils5","500urvashi","jamewils",1
"10320","kamaaaa6","500urvashi","kamaaaa6",1
"2183","ModiBharosa350","5500bhupi","ModiBharosa",1
"8831","akg316arvind","56perumal","akg316arvind",0
"4121","centerofright4","56perumal","centerofright",1
"849","Joydeep_9114","56perumal","Joydeep_911",1
"1572","kanimozhi8","56perumal","kanimozhi",1
"1846","ModiBharosa13","56perumal","ModiBharosa",1
"16322","SimonDixonTwitt3","59_moss","SimonDixonTwitt",1
"15461","AskAnshul79","593dbc0a0b54405","AskAnshul",1
"15241","_ashim__","5Forty3","_ashim__",-1
"15238","_flamboyant_","5Forty3","_flamboyant_",-1
"15106","_sayta","5Forty3","_sayta",-1
"6074","0807ankit3","5Forty3","0807ankit",-1
"15040","2ankitparmar","5Forty3","2ankitparmar",-1
"15107","42pi","5Forty3","42pi",-1
"14947","4bhi91","5Forty3","4bhi9",-1
"6060","a31x64vijay2","5Forty3","a31x64vijay",-1
"15111","abhi_cali","5Forty3","abhi_cali",-1
"12100","abhishe263420971","5Forty3","abhishe26342097",-1
"15248","acmatixjoshi","5Forty3","acmatixjoshi",-1
"15124","aditya5bahl1","5Forty3","aditya5bahl",-1
"15243","aggarwaltc","5Forty3","aggarwaltc",-1
"15118","ajeetj_201","5Forty3","ajeetj_20",-1
"15214","akbaripa72","5Forty3","akbaripa72",-1
"10151","akhaip3","5Forty3","akhaip",-1
"15060","amaradma","5Forty3","amaradma",-1
"14753","amitamisra","5Forty3","amitamisra",-1
"15122","amrishguru1","5Forty3","amrishguru",-1
"15188","amritrajp","5Forty3","amritrajp",-1
"15180","an___d","5Forty3","an___d",-1
"15003","anondomotth","5Forty3","anondomotth",-1
